Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
04/09/2023,17:59:34,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:35,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:36,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:37,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:38,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:39,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:40,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:41,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:59:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:10,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:11,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:12,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:13,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:14,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:15,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:16,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:17,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:19,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:20,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:21,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:22,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:23,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:24,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:25,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:26,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:27,0.00,0.00,0.00,0.00,0.00
